name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
1test53_4000_4_9999999, #1, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 9999999, 1
1test54_50_4_9999999, #1, 4, 50, 49.935286, 0.518525, 0.218992, 466, 500, 9999999, 1
1test55_600_4_9999999, #1, 4, 600, -0.000000, 0.000000, 0.000000, 0, 6000, 9999999, 1
1test56_800_4_9999999, #1, 4, 800, 69.139409, 0.082659, 0.303232, 662, 8000, 9999999, 1
1test57_400_4_9999999, #1, 4, 400, 68.389483, 0.121511, 0.318422, 584, 4000, 9999999, 1
1test58_1500_4_9999999, #1, 4, 1500, 1.387881, 0.000545, 0.018499, 13, 15000, 9999999, 1
1test59_1000_4_9999999, #1, 4, 1000, 1.541386, 0.001275, 0.034061, 14, 10000, 9999999, 1
2test0_50_4_99999999999, #2, 4, 50, 48.933545, 0.571047, 0.214867, 460, 500, 99999999999, 1
2test1_800_4_99999999999, #2, 4, 800, 184.217936, 0.816510, 1.860968, 1706, 8000, 99999999999, 1
2test2_10_4_99999999999, #2, 4, 10, 10.307770, 0.488598, 0.257689, 95, 100, 99999999999, 1
2test3_1000_4_99999999999, #2, 4, 1000, 33.981313, 0.036357, 0.211424, 306, 10000, 99999999999, 1
2test4_1500_4_99999999999, #2, 4, 1500, 46.156665, 0.033883, 0.205516, 412, 15000, 99999999999, 1
2test5_1_4_99999999999, #2, 4, 1, 1.158625, 0.517497, 0.290190, 9, 10, 99999999999, 1
2test6_1000_4_99999999999, #2, 4, 1000, 142.653187, 0.221923, 0.665588, 1340, 10000, 99999999999, 1
2test7_4000_4_99999999999, #2, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
2test8_600_4_99999999999, #2, 4, 600, 141.656757, 0.563908, 1.260739, 1320, 6000, 99999999999, 1
2test9_4000_4_99999999999, #2, 4, 4000, 14.025287, 0.008613, 0.193608, 79, 40000, 99999999999, 1
2test10_1_4_99999999999, #2, 4, 1, 1.088047, 0.475352, 0.179033, 9, 10, 99999999999, 1
2test11_1_4_99999999999, #2, 4, 1, 1.053652, 0.560500, 0.339292, 9, 10, 99999999999, 1
2test12_2000_4_99999999999, #2, 4, 2000, 47.901768, 0.035079, 0.271263, 455, 20000, 99999999999, 1
2test13_200_4_99999999999, #2, 4, 200, 168.218425, 0.974932, 0.579894, 1621, 2000, 99999999999, 1
2test14_800_4_99999999999, #2, 4, 800, 143.295796, 0.408804, 1.021614, 1333, 8000, 99999999999, 1
2test15_4000_4_99999999999, #2, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
2test16_1500_4_99999999999, #2, 4, 1500, 107.013854, 0.162385, 0.741780, 939, 15000, 99999999999, 1
2test17_2000_4_99999999999, #2, 4, 2000, 114.598866, 0.234153, 1.248979, 797, 20000, 99999999999, 1
2test18_600_4_99999999999, #2, 4, 600, 53.985633, 0.130033, 0.465790, 482, 6000, 99999999999, 1
2test19_50_4_99999999999, #2, 4, 50, 49.724021, 0.522988, 0.181889, 469, 500, 99999999999, 1
2test20_2000_4_99999999999, #2, 4, 2000, 55.209579, 0.087354, 0.645729, 478, 20000, 99999999999, 1
2test21_50_4_99999999999, #2, 4, 50, 48.088534, 0.603376, 0.307907, 456, 500, 99999999999, 1
2test22_10_4_99999999999, #2, 4, 10, 10.534853, 0.423066, 0.152270, 95, 100, 99999999999, 1
2test23_1_4_99999999999, #2, 4, 1, 1.086214, 0.460367, 0.192353, 9, 10, 99999999999, 1
2test24_400_4_99999999999, #2, 4, 400, 180.648277, 0.607234, 0.850992, 1675, 4000, 99999999999, 1
2test25_2000_4_99999999999, #2, 4, 2000, 4.731018, 0.003070, 0.068583, 40, 20000, 99999999999, 1
2test26_600_4_99999999999, #2, 4, 600, 147.385846, 0.608960, 1.204777, 1260, 6000, 99999999999, 1
2test27_800_4_99999999999, #2, 4, 800, 120.255161, 0.367137, 1.049634, 1099, 8000, 99999999999, 1
2test28_200_4_99999999999, #2, 4, 200, 164.194675, 0.914718, 0.592578, 1588, 2000, 99999999999, 1
2test29_1000_4_99999999999, #2, 4, 1000, 146.716795, 0.269799, 0.793967, 1377, 10000, 99999999999, 1
2test30_200_4_99999999999, #2, 4, 200, 175.172521, 1.008418, 0.621454, 1638, 2000, 99999999999, 1
2test31_100_4_99999999999, #2, 4, 100, 95.969288, 0.697306, 0.308122, 878, 1000, 99999999999, 1
2test32_100_4_99999999999, #2, 4, 100, 93.610532, 0.664849, 0.298639, 903, 1000, 99999999999, 1
2test33_1000_4_99999999999, #2, 4, 1000, 49.029159, 0.063762, 0.321533, 441, 10000, 99999999999, 1
2test34_200_4_99999999999, #2, 4, 200, 175.395238, 0.904016, 0.586682, 1551, 2000, 99999999999, 1
